pid,block,delays,score,trial_index,trial_time,clicks,n_clicks,stim_i
3,training,[],21.0,7,31776.0,"[5, 1, 9]",3,53
3,training,[],-17.0,8,9132.0,"[5, 1, 9]",3,9
3,training,[],15.0,9,46642.0,"[1, 9, 5]",3,39
3,test,[],-57.0,10,8283.0,"[1, 9, 5]",3,41
3,test,[],-56.0,11,7521.0,[],0,5
3,test,[],17.0,12,10449.0,"[9, 1, 5]",3,38
3,test,[],-51.0,13,10502.0,"[9, 1, 5]",3,35
3,test,[],45.0,14,11456.0,"[5, 1, 9]",3,40
3,test,[],39.0,15,9554.0,"[5, 1, 9]",3,49
3,test,[],41.0,16,9344.0,"[9, 1, 5]",3,2
3,test,[],-31.0,17,9463.0,"[5, 1, 9]",3,36
3,test,[],53.0,18,10087.0,"[9, 1, 5]",3,20
3,test,[],32.0,19,15227.0,"[5, 6, 2, 9]",4,47
3,test,[],28.0,20,14430.0,"[9, 1, 3, 4, 11, 12, 8, 7]",8,10
3,test,[],54.0,21,8500.0,"[12, 11]",2,4
3,test,[],55.0,22,9483.0,[11],1,42
3,test,[],41.0,23,9004.0,[11],1,54
3,test,[],24.0,24,9029.0,"[11, 7, 4, 3, 8, 12]",6,55
3,test,[],45.0,25,8853.0,"[7, 8, 12]",3,56
3,test,[],39.0,26,9692.0,"[11, 4, 3]",3,25
3,test,[],55.0,27,8521.0,[12],1,57
3,test,[],47.0,28,8656.0,[12],1,7
3,test,[],55.0,29,8987.0,"[11, 12, 4, 3, 7]",5,22
4,training,"[3, 2, 0, 0, 0, 3, 0, 3, 6]",22.0,0,55699.0,"[5, 8, 11, 12, 4, 10, 3, 1]",8,32
4,training,"[0, 40]",11.0,1,62265.0,[11],1,31
4,training,"[0, 0, 0, 3, 0]",52.0,2,16691.0,"[3, 4, 11, 12]",4,42
4,training,"[0, 0, 0, 0, 3, 0, 0, 2]",15.0,3,24055.0,"[8, 12, 4, 3, 2, 11, 7]",7,14
4,training,"[0, 0, 0, 2, 4]",32.0,4,21625.0,"[4, 8, 12, 7]",4,30
4,training,"[0, 0]",53.0,5,11387.0,[4],1,44
4,training,"[0, 0]",53.0,6,9072.0,[8],1,18
4,training,"[0, 0, 0, 0, 0, 0]",39.0,7,11657.0,"[12, 8, 4, 3, 11]",5,2
4,training,"[0, 0, 0, 2, 0]",40.0,8,13957.0,"[4, 8, 12, 7]",4,17
4,training,"[0, 0, 0]",36.0,9,8110.0,"[11, 8]",2,5
4,test,"[0, 0, 0, 0, 0, 0]",55.0,10,12758.0,"[11, 3, 8, 7, 12]",5,47
4,test,"[0, 0, 0, 0, 0, 0]",43.0,11,10883.0,"[12, 4, 8, 7, 11]",5,40
4,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,12,10420.0,"[3, 8, 11, 12, 7, 4]",6,55
4,test,"[0, 0, 0]",42.0,13,8935.0,"[4, 12]",2,36
4,test,"[0, 0, 0, 0]",43.0,14,10268.0,"[11, 8, 7]",3,25
4,test,"[0, 0, 0]",58.0,15,9992.0,"[7, 4]",2,0
4,test,"[0, 0, 0]",52.0,16,10809.0,"[12, 8]",2,43
4,test,"[0, 0, 0, 0, 0, 0]",43.0,17,9448.0,"[11, 3, 7, 8, 12]",5,8
4,test,"[0, 0, 0, 0, 0, 0]",55.0,18,9203.0,"[11, 3, 8, 12, 7]",5,22
4,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,19,11036.0,"[7, 8, 12, 11, 4, 3]",6,11
4,test,"[0, 0, 0, 0]",35.0,20,9887.0,"[8, 12, 4]",3,52
4,test,"[0, 0]",57.0,21,9175.0,[3],1,23
4,test,"[0, 0, 0, 0, 0]",44.0,22,9642.0,"[12, 7, 4, 3]",4,26
4,test,"[0, 0]",53.0,23,9590.0,[11],1,58
4,test,"[0, 0]",43.0,24,8476.0,[7],1,34
4,test,"[0, 0, 0]",40.0,25,10070.0,"[4, 12]",2,48
4,test,"[0, 0, 0, 0, 0, 0, 0]",12.0,26,9553.0,"[7, 4, 12, 8, 11, 3]",6,16
4,test,"[0, 0, 0]",52.0,27,10117.0,"[7, 8]",2,7
4,test,"[0, 0]",39.0,28,9228.0,[12],1,19
4,test,"[0, 0, 0, 0, 0]",44.0,29,10528.0,"[7, 8, 4, 3]",4,35
5,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26.0,0,26362.0,"[5, 9, 10, 11, 12, 1, 2, 4, 3, 7, 6, 8]",12,52
5,training,"[0, 0, 0, 0, 0, 0]",49.0,1,10739.0,"[4, 3, 7, 8, 11]",5,58
5,training,"[0, 0]",55.0,2,9184.0,[4],1,54
5,training,"[0, 0, 0]",40.0,3,10106.0,"[12, 8]",2,15
5,training,"[0, 0, 0, 0, 0, 0, 0]",16.0,4,16068.0,"[7, 11, 12, 8, 3, 4]",6,3
5,training,"[0, 0, 0, 0, 0, 0, 0]",18.0,5,9056.0,"[4, 3, 7, 8, 12, 11]",6,12
5,training,"[0, 0, 0, 0]",45.0,6,9681.0,"[4, 11, 12]",3,8
5,training,"[0, 0, 0, 0, 0, 0, 0]",24.0,7,10398.0,"[7, 3, 4, 11, 12, 8]",6,38
5,training,"[0, 0, 0, 0]",45.0,8,8767.0,"[3, 11, 12]",3,56
5,training,"[0, 0]",39.0,9,9585.0,[11],1,19
5,test,"[0, 0, 0, 0, 0, 0, 0]",42.0,10,10899.0,"[4, 3, 7, 8, 12, 11]",6,40
5,test,"[0, 0]",59.0,11,10167.0,[12],1,37
5,test,"[0, 0, 0, 0, 0, 0, 0]",42.0,12,9669.0,"[7, 8, 11, 12, 4, 3]",6,26
5,test,"[0, 0, 0, 0, 0, 0, 0]",10.0,13,9797.0,"[4, 11, 12, 8, 7, 3]",6,14
5,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,14,9189.0,"[3, 12, 11, 7, 8, 4]",6,55
5,test,"[0, 0, 0, 0]",41.0,15,8677.0,"[4, 3, 7]",3,34
5,test,"[0, 0, 0, 0, 0, 0]",49.0,16,10067.0,"[12, 11, 4, 3, 7]",5,28
5,test,"[0, 0]",37.0,17,8741.0,[12],1,24
5,test,"[0, 0, 0, 0, 0, 0, 0]",52.0,18,10463.0,"[11, 4, 8, 7, 12, 3]",6,9
5,test,"[0, 0]",57.0,19,9798.0,[3],1,23
5,test,"[0, 0, 0]",46.0,20,9797.0,"[4, 11]",2,7
5,test,"[0, 0, 0, 0, 0, 0]",39.0,21,11798.0,"[4, 3, 8, 12, 11]",5,53
5,test,"[0, 0, 0, 0, 0, 0, 0]",20.0,22,8460.0,"[7, 3, 4, 11, 12, 8]",6,31
5,test,"[0, 0, 0, 0, 0, 0]",47.0,23,9569.0,"[4, 11, 12, 8, 7]",5,50
5,test,"[0, 0, 0, 0, 0, 0, 0]",14.0,24,8596.0,"[3, 7, 8, 12, 11, 4]",6,27
5,test,"[0, 0]",43.0,25,10466.0,[11],1,17
5,test,"[0, 0]",49.0,26,10015.0,[11],1,35
5,test,"[0, 0, 0, 0, 0, 0]",49.0,27,9205.0,"[7, 8, 3, 4, 11]",5,51
5,test,"[0, 0]",55.0,28,9763.0,[11],1,4
5,test,"[0, 0, 0]",44.0,29,9683.0,"[11, 12]",2,21
6,training,[],-67.0,0,255307.0,"[5, 1, 9, 2, 6, 10, 12]",7,56
6,training,[],43.0,1,39592.0,"[1, 9, 5, 10, 6, 8, 7]",7,30
6,training,[],30.0,2,34573.0,"[1, 9, 5, 6, 2, 7, 8, 3, 4, 11]",10,19
6,training,[],43.0,3,12263.0,[11],1,17
